midx,midy,midz,cut_real,cut_est,ugcut,f1
474634.978,7479498.413,1617.500, 0.066, 0.111,10,7
474671.359,7479479.651,1632.500, 0.120, 0.088,10,4
474662.818,7479506.687,1632.500, 0.066, 0.093,10,4
474650.037,7479477.241,1632.500, 0.106, 0.077,10,4
474641.500,7479504.280,1632.500, 0.058, 0.085,10,4
474637.235,7479494.462,1632.500, 0.103, 0.080,10,4
474658.557,7479496.872,1632.500, 0.077, 0.099,10,4
474658.812,7479479.360,1617.500, 0.124, 0.081,10,6
474679.880,7479499.281,1632.500, 0.100, 0.088,10,4
474679.383,7479496.810,1617.500, 0.059, 0.075,10,6
474685.767,7479480.408,1617.500, 0.070, 0.084,10,6
474682.020,7479480.855,1632.500, 0.110, 0.098,10,5
474693.095,7479492.504,1617.500, 0.050, 0.074,10,6
474698.394,7479504.209,1617.500, 0.160, 0.073,10,6
474730.798,7479484.111,1632.500, 0.027, 0.077,10,5
474722.524,7479504.100,1632.500, 0.032, 0.066,10,5
474761.941,7479501.031,1632.500, 0.130, 0.063,10,5
474505.041,7479516.868,1632.500, 0.970, 0.313,10,4
474541.287,7479530.293,1632.500, 0.787, 0.271,10,4
474515.702,7479518.072,1632.500, 0.939, 0.358,10,4
474547.687,7479521.681,1632.500, 0.550, 0.257,10,4
474526.364,7479519.275,1632.500, 0.593, 0.332,10,4
474575.410,7479515.480,1632.500, 0.442, 0.103,10,4
474590.330,7479526.490,1632.500, 0.065, 0.088,10,4
474588.190,7479544.920,1632.500, 0.060, 0.083,10,4
474577.530,7479543.720,1632.500, 0.827, 0.111,10,4
474554.090,7479513.070,1632.500, 0.682, 0.157,10,4
474558.350,7479522.880,1632.500, 0.475, 0.235,10,4
474586.070,7479516.680,1632.500, 0.064, 0.089,10,4
474551.948,7479531.496,1632.500, 0.390, 0.260,10,4
474583.930,7479535.110,1632.500, 0.050, 0.102,10,4
474571.133,7479552.328,1632.500, 0.330, 0.114,10,4
474566.871,7479542.513,1632.500, 0.740, 0.112,10,4
474560.472,7479551.125,1632.500, 1.260, 0.115,10,4
474596.730,7479517.880,1632.500, 0.117, 0.084,10,4
474598.860,7479546.120,1632.500, 0.058, 0.073,10,4
474600.990,7479527.700,1632.500, 0.059, 0.081,10,4
474609.520,7479547.330,1632.500, 0.071, 0.066,10,4
474626.580,7479539.920,1632.500, 0.070, 0.069,10,4
474620.180,7479548.530,1632.500, 0.080, 0.073,10,4
474622.320,7479530.100,1632.500, 0.058, 0.070,10,4
474615.920,7479538.720,1632.500, 0.078, 0.065,10,4
474618.050,7479520.290,1632.500, 0.060, 0.066,10,4
474605.260,7479537.510,1632.500, 0.054, 0.066,10,4
474611.660,7479528.900,1632.500, 0.096, 0.067,10,4
474628.720,7479521.490,1632.500, 0.048, 0.077,10,4
474607.390,7479519.090,1632.500, 0.050, 0.064,10,4
474594.590,7479536.310,1632.500, 0.047, 0.079,10,4
474660.677,7479525.113,1632.500, 0.016, 0.075,10,4
474632.980,7479531.310,1632.500, 0.064, 0.071,10,4
474652.062,7479514.093,1632.500, 0.031, 0.081,10,4
474645.760,7479514.090,1632.500, 0.059, 0.081,10,4
474639.380,7479522.700,1632.500, 0.073, 0.072,10,4
474658.536,7479543.538,1632.500, 0.040, 0.071,10,5
474637.239,7479541.121,1632.500, 0.087, 0.071,10,5
474667.078,7479516.502,1632.500, 0.029, 0.085,10,4
474635.120,7479512.880,1632.500, 0.073, 0.073,10,4
474696.921,7479538.542,1632.500, 0.079, 0.100,10,5
474699.061,7479520.117,1632.500, 0.089, 0.073,10,5
474679.859,7479545.948,1632.500, 0.103, 0.081,10,5
474777.399,7479523.451,1632.500, 0.104, 0.062,10,5
474568.995,7479570.754,1632.500, 0.620, 0.133,10,4
474588.180,7479591.587,1632.500, 0.204, 0.153,10,5
474581.800,7479553.530,1632.500, 0.084, 0.107,10,4
474579.657,7479571.957,1632.500, 0.120, 0.117,10,4
474583.919,7479581.772,1632.500, 0.470, 0.122,10,5
474585.115,7479563.440,1632.500, 0.150, 0.108,10,4
474590.318,7479573.161,1632.500, 0.350, 0.129,10,4
474564.734,7479560.940,1632.500, 1.020, 0.117,10,4
474562.596,7479579.366,1632.500, 0.611, 0.133,10,4
474586.610,7479562.980,1632.500, 0.105, 0.097,10,4
474596.720,7479564.550,1632.500, 0.169, 0.078,10,4
474603.120,7479555.940,1632.500, 0.068, 0.074,10,4
474592.460,7479554.730,1632.500, 0.106, 0.081,10,4
474596.700,7479573.410,1632.500, 0.306, 0.075,10,5
474605.600,7479564.800,1632.500, 0.131, 0.075,10,5
474594.580,7479582.975,1632.500, 0.192, 0.122,10,5
474613.780,7479557.140,1632.500, 0.102, 0.075,10,5
474605.241,7479584.178,1632.500, 0.151, 0.093,10,5
474618.041,7479566.955,1632.500, 0.299, 0.076,10,5
474635.102,7479559.547,1632.500, 0.082, 0.068,10,5
474656.424,7479561.953,1632.500, 0.075, 0.068,10,5
474660.686,7479571.768,1632.500, 0.048, 0.087,10,5
474639.363,7479569.362,1632.500, 0.051, 0.065,10,5
474683.670,7479555.315,1632.500, 0.037, 0.083,10,5
474405.748,7479620.520,1632.500, 0.909, 0.209,10,3
474410.182,7479625.937,1632.500, 0.575, 0.191,10,3
474414.954,7479624.185,1632.500, 1.328, 0.129,10,3
474399.309,7479628.256,1632.500, 0.610, 0.211,10,3
474536.650,7479630.905,1632.500, 0.647, 0.241,10,5
474529.842,7479632.135,1632.500, 0.420, 0.255,10,3
474524.257,7479623.600,1632.500, 1.190, 0.260,10,3
474541.259,7479623.626,1632.500, 0.737, 0.309,10,5
474530.598,7479622.423,1632.500, 0.512, 0.210,10,5
474544.588,7479632.584,1632.500, 0.625, 0.222,10,5
474584.180,7479602.674,1632.500, 0.198, 0.144,10,5
474579.609,7479611.760,1632.500, 0.221, 0.130,10,5
474585.194,7479620.295,1632.500, 0.285, 0.215,10,5
474564.881,7479621.397,1632.500, 0.180, 0.157,10,5
474590.779,7479628.830,1632.500, 0.249, 0.248,10,5
474580.623,7479629.381,1632.500, 0.256, 0.211,10,5
474564.720,7479607.606,1632.500, 0.534, 0.203,10,5
474570.466,7479629.932,1632.500, 0.138, 0.240,10,5
474575.038,7479620.846,1632.500, 0.160, 0.227,10,5
474551.921,7479624.829,1632.500, 0.484, 0.218,10,5
474595.350,7479619.744,1632.500, 0.388, 0.244,10,5
474622.289,7479623.437,1632.500, 0.086, 0.230,10,5
